# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,9.035314601124611722e-06,-8.735946646298842211e-06,1.736250693308017320e-05,nan,5.228497461118308820e-05,9.035314601124611722e-06
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.933125086560545050e-04,-1.713073809557208449e-04,7.314771052745986258e-04,nan,3.043071985561640602e-03,2.933125086560545050e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,3.759580135364156079e-04,-2.206305266118313568e-03,1.188961747389757819e-03,nan,4.029300829084592195e-03,3.759580135364156079e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.531588305847547114e-05,-2.206305266118313568e-03,9.650618598373426242e-04,nan,4.029300829084592195e-03,6.531588305847547114e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.358167724333618012e-05,-6.705668205730930254e-05,1.177994519001211458e-05,nan,-2.316431559790110839e-05,-5.358167724333618012e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.753521059412153169e-05,-5.851117137467554130e-05,8.432035460117777602e-07,nan,-5.517935104837334848e-05,-5.753521059412153169e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.781913430026944245e-05,-5.788889178015566017e-05,6.092184745421056077e-08,nan,-5.766198700429825408e-05,-5.781913430026944245e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.783938169114516143e-05,-5.784438926892399024e-05,4.371879159407983924e-09,nan,-5.782806107368365645e-05,-5.783938169114516143e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.784083487485880279e-05,-5.784119442053814453e-05,3.139872498331862294e-10,nan,-5.784002495423656853e-05,-5.784083487485880279e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.784093920962879307e-05,-5.784096501071367413e-05,2.254228569265918082e-11,nan,-5.784088108162777075e-05,-5.784093920962879307e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.784094670184397466e-05,-5.784094856253751971e-05,1.618542264056115333e-12,nan,-5.784094252891947008e-05,-5.784094670184397466e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.784094724016059224e-05,-5.784094737792955243e-05,1.170472213622617452e-13,nan,-5.784094694027963612e-05,-5.784094724016059224e-05
